Table S8. Alpha diversity estimates of richness,,,,,,,,,
,,,,,,,,,
Bacterial Sample,Observed,Chao1,se.chao1,ACE,se.ACE,Shannon,Simpson,InvSimpson,Fisher
Hum.BS.14.16S_S14_L001_R1_001.fastq.gz,149,149,0,149,3.191852043,4.594781078,0.985795647,70.40095586,25.53573013
Hum.BS.15.16S_S15_L001_R1_001.fastq.gz,181,181,0,181,3.473657776,4.92114032,0.99097712,110.8293608,31.73776672
Hum.BS.16.16S_S16_L001_R1_001.fastq.gz,162,162,0,162,2.757705255,4.711551494,0.987596409,80.62181607,26.82270874
Hum.BS.17.16S_S17_L001_R1_001.fastq.gz,175,175,0,175,3.343223423,4.763044239,0.986847378,76.03046942,28.70981979
Hum.BS.18.16S_S18_L001_R1_001.fastq.gz,152,152,0,152,2.584111371,4.669781084,0.986908846,76.38746095,26.13876351
Hum.BS.19.16S_S19_L001_R1_001.fastq.gz,116,116,0,116,2.881271271,3.906453806,0.952049889,20.85500906,18.42506959
Hum.BS.2.16S_S2_L001_R1_001.fastq.gz,98,98,0,98,2.996596709,4.24652347,0.980429358,51.09694493,17.05344962
Hum.BS.20.16S_S20_L001_R1_001.fastq.gz,104,104,0,104,2.717464882,4.23733345,0.978916952,47.43147272,17.50871249
Hum.BS.21.16S_S21_L001_R1_001.fastq.gz,110,110,0,110,3.146426545,4.387981379,0.983812231,61.77503679,19.18553932
Hum.BS.22.16S_S22_L001_R1_001.fastq.gz,125,125,0,125,1.711139971,4.398495091,0.982392738,56.79474856,19.29413164
Hum.BS.23.16S_S23_L001_R1_001.fastq.gz,170,170,0,170,2.590707376,4.591585609,0.98305499,59.01442363,27.05082817
Hum.BS.24.16S_S24_L001_R1_001.fastq.gz,140,140,0,140,2.746426249,4.512706953,0.983472345,60.50464996,23.62277704
Hum.BS.25.16S_S25_L001_R1_001.fastq.gz,199,199,0,199,3.358032446,4.815353237,0.987151835,77.83212562,33.41199305
Hum.BS.26.16S_S26_L001_R1_001.fastq.gz,280,280,0,280,4.309458037,5.095222049,0.990339032,103.5092926,44.72590702
Hum.BS.27.16S_S27_L001_R1_001.fastq.gz,186,186,0,186,3.713532359,4.797321098,0.988033564,83.56707087,31.24582932
Hum.BS.28.16S_S28_L001_R1_001.fastq.gz,223,223,0,223,3.233790207,4.95452636,0.989398554,94.32675134,36.02149504
Hum.BS.29.16S_S29_L001_R1_001.fastq.gz,185,185,0,185,3.476562453,4.851543899,0.989259098,93.10204623,31.57218234
Hum.BS.3.16S_S3_L001_R1_001.fastq.gz,157,157,0,157,3.453051821,4.691385923,0.987395715,79.33809762,26.64785007
Hum.BS.30.16S_S30_L001_R1_001.fastq.gz,250,250,0,250,3.510555512,4.935742061,0.985821911,70.53136498,40.9476301
Hum.BS.4.16S_S4_L001_R1_001.fastq.gz,115,115,0,115,2.880217383,4.444714888,0.98449541,64.49702934,20.03829784
Hum.BS.5.16S_S5_L001_R1_001.fastq.gz,229,229,0,229,3.625479941,4.992984715,0.989957982,99.58158155,37.18914383
Hum.BS.6.16S_S6_L001_R1_001.fastq.gz,277,277,0,277,3.250104136,5.294816743,0.99345376,152.7594392,46.32305051
Hum.BS.7.16S_S7_L001_R1_001.fastq.gz,208,208,0,208,3.085325067,5.068950395,0.992092162,126.4568117,36.388029
Hum.BS.8.16S_S8_L001_R1_001.fastq.gz,209,209,0,209,3.491616754,4.859229911,0.987934014,82.87760212,33.81531407
Hum.BS.9.16S_S9_L001_R1_001.fastq.gz,102,102,0,102,3.253956867,4.30280684,0.982493493,57.12161731,17.8807327
Hum.ES.1.16S_S61_L001_R1_001.fastq.gz,137,137,0,137,2.395250775,4.110196036,0.9642828,27.99771537,20.23771487
Hum.ES.10.16S_S70_L001_R1_001.fastq.gz,175,175,0,175,2.592296279,4.720251823,0.986222431,72.58174405,28.85521868
Hum.ES.11.16S_S71_L001_R1_001.fastq.gz,167,167,0,167,1.716422962,4.384186587,0.975744673,41.22805747,25.17489356
Hum.ES.12.16S_S72_L001_R1_001.fastq.gz,153,153,0,153,2.400980192,4.437532733,0.979222181,48.12824763,23.31939807
Hum.ES.13.16S_S73_L001_R1_001.fastq.gz,168,168,0,168,2.405351177,4.437161735,0.979398663,48.54053825,24.54492357
Hum.ES.14.16S_S74_L001_R1_001.fastq.gz,193,193,0,193,2.769186484,4.537299599,0.9829025,58.48808295,26.73840354
Hum.ES.16.16S_S76_L001_R1_001.fastq.gz,137,137,0,137,2.194884564,4.378446088,0.979487786,48.75144192,21.20446312
Hum.ES.18.16S_S78_L001_R1_001.fastq.gz,222,222,0,222,3.498390878,4.820250689,0.985714017,69.99868493,34.28612155
Hum.ES.19.16S_S79_L001_R1_001.fastq.gz,210,210,0,210,3.086066999,4.724093139,0.985340693,68.21605088,32.33397501
Hum.ES.2.16S_S62_L001_R1_001.fastq.gz,177,177,0,177,2.592906447,4.601088468,0.982735954,57.92385037,26.77644408
Hum.ES.21.16S_S81_L001_R1_001.fastq.gz,235,235,0,235,3.628492448,4.863141095,0.987464875,79.7758308,35.62610727
Hum.ES.22.16S_S82_L001_R1_001.fastq.gz,123,123,0,123,1.710797846,4.203168319,0.975242074,40.39110523,18.07777445
Hum.ES.23.16S_S83_L001_R1_001.fastq.gz,147,147,0,147,2.581988897,4.267095188,0.975987343,41.64470501,21.14441769
Hum.ES.25.16S_S85_L001_R1_001.fastq.gz,168,168,0,168,2.202541822,4.323428913,0.972888876,36.88522882,25.17055428
Hum.ES.26.16S_S86_L001_R1_001.fastq.gz,152,152,0,152,3.194361809,4.089060912,0.964502766,28.17120903,22.52333181
Hum.ES.27.16S_S87_L001_R1_001.fastq.gz,162,162,0,162,2.40370085,4.474208499,0.98020045,50.50619785,25.11773221
Hum.ES.28.16S_S88_L001_R1_001.fastq.gz,161,161,0,161,2.75726032,4.413624709,0.97839616,46.28806681,24.46106827
Hum.ES.29.16S_S89_L001_R1_001.fastq.gz,180,180,0,180,3.346640106,4.601511134,0.982893187,58.45624253,28.38872972
Hum.ES.3.16S_S63_L001_R1_001.fastq.gz,191,191,0,191,3.48068718,4.746316843,0.987176245,77.98028258,30.82602039
Hum.ES.30.16S_S90_L001_R1_001.fastq.gz,204,204,0,204,3.947573094,4.560823046,0.976919582,43.32677177,31.90244605
Hum.ES.4.16S_S64_L001_R1_001.fastq.gz,55,55,0,55,2.614644075,3.489996697,0.952958418,21.25778846,9.642850104
Hum.ES.5.16S_S65_L001_R1_001.fastq.gz,180,180,0,180,2.924038303,4.712920634,0.986182149,72.3701517,28.11356465
Hum.ES.6.16S_S66_L001_R1_001.fastq.gz,231,231,0,231,3.626501779,4.687645325,0.980751285,51.95151969,34.86253333
Hum.ES.7.16S_S67_L001_R1_001.fastq.gz,206,206,0,206,3.226859365,4.913966857,0.989425549,94.56755721,33.09196114
